task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-23_09-50-59_#0-0: task_3,25686,8195,33881,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#1-0: task_3,26410,14328,40738,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#2-0: task_2,26881,10593,37474,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0]"
2026-01-23_09-50-59_#3-0: task_6,15303,7468,22771,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-50-59_#4-0: task_3,40996,12686,53682,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#5-0: task_6,39955,17009,56964,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#6-0: task_6,34575,12386,46961,5,0,False,True,0.25,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.25, 0.25]"
2026-01-23_09-50-59_#7-0: task_6,33755,14842,48597,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#8-0: task_1,40712,21209,61921,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#9-0: task_5,38811,17350,56161,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#10-0: task_6,28384,14345,42729,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#11-0: task_2,28533,7096,35629,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#12-0: task_5,19913,5270,25183,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#13-0: task_6,21540,6781,28321,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#14-0: task_2,7431,2175,9606,0,0,False,False,0.0,0.0,0,0,easy,[]
2026-01-23_09-50-59_#15-0: task_2,20084,12401,32485,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-50-59_#16-0: task_4,20904,10102,31006,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#17-0: task_4,27264,8186,35450,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#18-0: task_3,27516,6972,34488,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#19-0: task_6,18537,6247,24784,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#20-0: task_6,21144,6997,28141,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-23_09-50-59_#21-0: task_5,35563,7351,42914,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#22-0: task_2,27166,11236,38402,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#23-0: task_6,32059,11680,43739,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#24-0: task_3,25892,6141,32033,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-50-59_#25-0: task_7,14566,3668,18234,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-23_09-50-59_#26-0: task_1,33110,22163,55273,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#27-0: task_2,8852,4199,13051,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-23_09-50-59_#28-0: task_7,21954,6191,28145,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-01-23_09-50-59_#29-0: task_1,20942,6294,27236,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-50-59_#30-0: task_7,37430,30617,68047,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#31-0: task_3,21210,6811,28021,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#32-0: task_4,28278,10922,39200,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#33-0: task_3,26988,9952,36940,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#34-0: task_1,21227,6827,28054,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#35-0: task_2,7150,3192,10342,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-23_09-50-59_#36-0: task_5,27927,6311,34238,4,1,True,False,1.0,0.625,2.5,1.0,medium,"[0.5, 1.0, 0.5, 0.5]"
2026-01-23_09-50-59_#37-0: task_6,21442,10464,31906,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-01-23_09-50-59_#38-0: task_3,20374,6077,26451,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#39-0: task_2,21187,15323,36510,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#40-0: task_6,26164,13044,39208,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#41-0: task_4,14326,5892,20218,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-50-59_#42-0: task_4,21214,7066,28280,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#43-0: task_6,8179,2854,11033,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-23_09-50-59_#44-0: task_4,44332,13913,58245,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#45-0: task_2,8647,3076,11723,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-23_09-50-59_#46-0: task_3,25688,8595,34283,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-23_09-50-59_#47-0: task_2,21695,7556,29251,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-50-59_#48-0: task_2,12775,5525,18300,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-50-59_#49-0: task_6,14202,5290,19492,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-50-59_#50-0: task_5,20824,12161,32985,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#51-0: task_5,13472,4488,17960,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-01-23_09-50-59_#52-0: task_3,13764,4007,17771,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-01-23_09-50-59_#53-0: task_6,25636,16208,41844,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0]"
2026-01-23_09-50-59_#54-0: task_5,15278,10531,25809,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-50-59_#55-0: task_3,27932,12886,40818,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#56-0: task_2,21096,6600,27696,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#57-0: task_2,22106,6030,28136,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#58-0: task_5,14542,4887,19429,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-50-59_#59-0: task_4,26625,13760,40385,3,0,False,True,0.5,0.25,0.75,0.75,medium,"[0.25, 0.5, 0.0]"
2026-01-23_09-50-59_#60-0: task_1,26401,7289,33690,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#61-0: task_7,8860,2526,11386,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-23_09-50-59_#62-0: task_1,21348,6372,27720,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#63-0: task_2,21471,6597,28068,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#64-0: task_6,15075,3184,18259,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-23_09-50-59_#65-0: task_2,34524,11511,46035,5,3,True,False,1.0,0.6,3.0,1.0,easy,"[1.0, 1.0, 0.0, 1.0, 0.0]"
2026-01-23_09-50-59_#66-0: task_7,35533,23621,59154,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#67-0: task_6,26340,23268,49608,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.0, 0.0, 0.5]"
2026-01-23_09-50-59_#68-0: task_4,9030,2525,11555,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-23_09-50-59_#69-0: task_5,21172,12034,33206,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#70-0: task_1,32417,14508,46925,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#71-0: task_4,33813,11769,45582,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#72-0: task_4,15806,10085,25891,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-23_09-50-59_#73-0: task_5,5062,6656,11718,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-23_09-50-59_#74-0: task_4,27055,9390,36445,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#75-0: task_5,7170,1896,9066,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-23_09-50-59_#76-0: task_5,32738,8162,40900,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-50-59_#77-0: task_7,26485,12802,39287,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
