task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2026-01-07_07-41-51_#1-0: task_4,36744,782,37526,6,0,False,0.5,0.166667,1.0,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#2-0: task_2,30528,794,31322,6,2,True,1.0,0.333333,2.0,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#3-0: task_2,24692,725,25417,4,1,True,1.0,0.25,1.0,"[0.0, 0.0, 0.0, 1.0]"
2026-01-07_07-41-51_#4-0: task_7,51603,806,52409,9,0,False,0.33,0.073333,0.66,"[0.33, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#5-0: task_1,19473,278,19751,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-51_#6-0: task_4,14865,414,15279,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#7-0: task_7,26371,580,26951,4,0,False,0.33,0.0825,0.33,"[0.33, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#8-0: task_5,23446,380,23826,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-51_#9-0: task_1,26862,654,27516,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#10-0: task_1,23879,394,24273,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-51_#11-0: task_6,29234,512,29746,3,1,True,1.0,0.333333,1.0,"[1.0, 0.0, 0.0]"
2026-01-07_07-41-51_#12-0: task_7,28689,292,28981,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-51_#13-0: task_1,40798,1058,41856,7,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#14-0: task_1,10534,390,10924,2,1,True,1.0,0.5,1.0,"[1.0, 0.0]"
2026-01-07_07-41-51_#15-0: task_7,34611,737,35348,7,0,False,0.33,0.141429,0.99,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.33, 0.33]"
2026-01-07_07-41-51_#16-0: task_7,33177,687,33864,5,0,False,0.67,0.134,0.67,"[0.67, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#17-0: task_2,11489,341,11830,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-51_#18-0: task_2,20942,582,21524,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#19-0: task_4,29360,462,29822,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#20-0: task_2,19273,537,19810,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#21-0: task_7,20380,512,20892,2,0,False,0.33,0.165,0.33,"[0.33, 0.0]"
2026-01-07_07-41-51_#22-0: task_4,28996,678,29674,6,1,True,1.0,0.166667,1.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-07_07-41-51_#23-0: task_1,39736,841,40577,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#24-0: task_2,25044,658,25702,3,1,True,1.0,0.333333,1.0,"[0.0, 0.0, 1.0]"
2026-01-07_07-41-51_#25-0: task_4,12921,420,13341,2,0,False,0.5,0.5,1.0,"[0.5, 0.5]"
2026-01-07_07-41-51_#26-0: task_3,25743,735,26478,5,1,True,1.0,0.2,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#27-0: task_7,23954,485,24439,3,0,False,0.33,0.22,0.66,"[0.33, 0.0, 0.33]"
2026-01-07_07-41-51_#28-0: task_7,31132,741,31873,5,0,False,0.33,0.066,0.33,"[0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-07_07-41-51_#29-0: task_4,21610,558,22168,4,0,False,0.5,0.125,0.5,"[0.0, 0.5, 0.0, 0.0]"
2026-01-07_07-41-51_#30-0: task_3,19955,622,20577,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#31-0: task_4,31940,859,32799,6,0,False,0.5,0.083333,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-07_07-41-51_#32-0: task_6,38944,392,39336,2,0,False,0.5,0.25,0.5,"[0.0, 0.5]"
2026-01-07_07-41-51_#33-0: task_6,20600,588,21188,4,0,False,0.5,0.375,1.5,"[0.5, 0.5, 0.0, 0.5]"
2026-01-07_07-41-51_#34-0: task_7,6003,252,6255,1,0,False,0.33,0.33,0.33,[0.33]
2026-01-07_07-41-51_#35-0: task_6,21077,518,21595,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-51_#36-0: task_4,17518,474,17992,3,0,False,0.5,0.166667,0.5,"[0.0, 0.0, 0.5]"
2026-01-07_07-41-51_#37-0: task_2,33988,615,34603,4,1,True,1.0,0.25,1.0,"[0.0, 1.0, 0.0, 0.0]"
2026-01-07_07-41-51_#38-0: task_2,39450,753,40203,7,1,True,1.0,0.142857,1.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#39-0: task_3,20625,590,21215,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#40-0: task_2,27610,740,28350,6,1,True,1.0,0.166667,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#41-0: task_1,24243,764,25007,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#42-0: task_5,20365,526,20891,3,0,False,0.5,0.333333,1.0,"[0.5, 0.5, 0.0]"
2026-01-07_07-41-51_#43-0: task_6,38130,576,38706,4,1,True,1.0,0.25,1.0,"[0.0, 0.0, 0.0, 1.0]"
2026-01-07_07-41-51_#44-0: task_5,24306,773,25079,5,1,True,1.0,0.2,1.0,"[0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-07_07-41-51_#45-0: task_1,36929,800,37729,6,1,True,1.0,0.166667,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-51_#46-0: task_6,16059,454,16513,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-51_#47-0: task_3,13678,256,13934,1,1,True,1.0,1.0,1.0,[1.0]
2026-01-07_07-41-51_#48-0: task_1,6406,299,6705,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-51_#49-0: task_1,21501,587,22088,2,1,True,1.0,0.5,1.0,"[0.0, 1.0]"
2026-01-07_07-41-51_#50-0: task_5,29353,798,30151,6,1,True,1.0,0.25,1.5,"[0.5, 0.0, 1.0, 0.0, 0.0, 0.0]"
